word,emotion,accuracy
brutalidade,anger,0.959
ódio,anger,0.953
odioso,anger,0.940
aterrorizar,anger,0.939
violentamente,anger,0.938
enfurecido,anger,0.938
furioso,anger,0.929
furiosamente,anger,0.927
enfurecido,anger,0.927
dane-se,anger,0.924
assassino,anger,0.922
fúria,anger,0.922
execução,anger,0.917
irritado,anger,0.916
selvageria,anger,0.915
matando,anger,0.914
muito bravo,anger,0.913
assassinar,anger,0.912
aniquilação,anger,0.912
Foda -se,anger,0.912
raiva,anger,0.911
odia,anger,0.909
Fucktard,anger,0.906
Estrada Violenta,anger,0.906
condenação,anger,0.906
homicida,anger,0.906
furor,anger,0.900
hostil,anger,0.898
aniquilar,anger,0.898
assassinato,anger,0.897
Raging,anger,0.896
tão irritado,anger,0.894
enfurecem,anger,0.894
chateado,anger,0.894
estupro,anger,0.894
feroz,anger,0.894
vingativo,anger,0.894
obliterado,anger,0.894
explosivo,anger,0.894
matando,anger,0.893
combativo,anger,0.891
vingança,anger,0.886
Vá se foder,anger,0.886
tormento,anger,0.885
fúria,anger,0.885
vicioso,anger,0.884
massacre,anger,0.882
ameaçador,anger,0.882
abominável,anger,0.875
sanguinário,anger,0.875
não me chateies,anger,0.875
brigando,anger,0.868
atacante,anger,0.865
aniquilado,anger,0.865
mais irritado,anger,0.864
derramamento de sangue,anger,0.864
desbaratar,anger,0.862
briga,anger,0.861
malicioso,anger,0.859
assassinato,anger,0.859
estrangular,anger,0.859
hostilidade,anger,0.859
assalto,anger,0.859
explodir,anger,0.859
Manada,anger,0.859
repugnante,anger,0.857
inferno,anger,0.853
assassino,anger,0.853
ataque,anger,0.853
malícia,anger,0.852
terrorismo,anger,0.851
espancamento,anger,0.849
ultraje,anger,0.848
profanação,anger,0.848
Me irritando,anger,0.848
destruindo,anger,0.844
massacre,anger,0.844
irado,anger,0.844
violento,anger,0.844
facada,anger,0.844
abominação,anger,0.844
tumultuado,anger,0.844
enfurecer,anger,0.844
obliterar,anger,0.843
beligerante,anger,0.841
Dumbbitch,anger,0.841
detestar,anger,0.838
hostilidades,anger,0.837
picada,anger,0.835
tumulto,anger,0.833
horrível,anger,0.833
crueldade,anger,0.833
tortura,anger,0.833
raivoso,anger,0.833
desprezível,anger,0.828
tirânico,anger,0.828
demoníaco,anger,0.828
satânico,anger,0.828
odiar,anger,0.828
modo furioso,anger,0.828
odiar,anger,0.828
ruinoso,anger,0.825
condenar,anger,0.825
tumultos,anger,0.824
demolir,anger,0.824
nervoso,anger,0.824
extermínio,anger,0.824
Dickhead,anger,0.824
lívido,anger,0.821
louco,anger,0.820
vingativo,anger,0.819
terrorista,anger,0.818
ameaçar,anger,0.818
venenosa,anger,0.818
odeio você,anger,0.818
ferocidade,anger,0.818
effyou,anger,0.818
abominar,anger,0.816
carnificina,anger,0.814
selvagem,anger,0.814
atrocidade,anger,0.814
Foda -se o saquê,anger,0.812
Abuso,anger,0.812
feroz,anger,0.812
destruidor,anger,0.812
Tweet zangado,anger,0.812
bárbaro,anger,0.812
vendeta,anger,0.812
Me irrita,anger,0.812
puto,anger,0.812
tirano,anger,0.812
Berserk,anger,0.812
fumando,anger,0.812
raiva,anger,0.811
pedaço de merda,anger,0.810
perfurado,anger,0.803
perfuração,anger,0.803
bater,anger,0.803
homicídio,anger,0.803
cadela,anger,0.803
brigas,anger,0.803
impiedoso,anger,0.797
vilão,anger,0.797
destrutivo,anger,0.797
tapa,anger,0.791
rebelião,anger,0.788
crescer,anger,0.788
punição,anger,0.788
Slaughter House,anger,0.788
gritando,anger,0.788
diabólico,anger,0.788
destruído,anger,0.788
Tweet RAGE,anger,0.788
retaliatória,anger,0.788
homicídio culposo,anger,0.783
choque,anger,0.783
briga,anger,0.781
sangrento,anger,0.781
infernal,anger,0.781
sinistro,anger,0.781
relutante,anger,0.781
detonação,anger,0.781
acusando,anger,0.779
Fumin,anger,0.779
Hateeee,anger,0.779
traiçoeiro,anger,0.779
Madder,anger,0.773
horrível,anger,0.773
Repulsão,anger,0.773
retaliar,anger,0.773
desprezo,anger,0.769
bombear,anger,0.766
deplorável,anger,0.766
devastação,anger,0.765
anarquista,anger,0.765
tempestade de fogo,anger,0.765
ressentir -se,anger,0.765
desprezível,anger,0.764
SATEST,anger,0.760
Rant,anger,0.758
cruel,anger,0.758
mortal,anger,0.758
esmagar,anger,0.758
Tão zangado,anger,0.758
explosão,anger,0.757
rosnar,anger,0.754
profano,anger,0.750
revoltante,anger,0.750
agravante,anger,0.750
Horror,anger,0.750
desprezo,anger,0.750
ofender,anger,0.750
stfu,anger,0.750
vulgaridade,anger,0.750
enlouquecido,anger,0.750
Idiotas,anger,0.750
rosnando,anger,0.750
Não mexa comigo,anger,0.750
gritando,anger,0.742
ameaça,anger,0.742
erupção,anger,0.742
horrível,anger,0.742
molestação,anger,0.742
Fodido,anger,0.742
violência,anger,0.742
bastardos,anger,0.741
vingança,anger,0.738
ameaçador,anger,0.735
esmagando,anger,0.735
droga,anger,0.735
catástrofe,anger,0.735
demônio,anger,0.735
discutir,anger,0.734
perseguir,anger,0.734
deplore,anger,0.734
açoitar,anger,0.734
cheio,anger,0.734
tumultuoso,anger,0.734
veemente,anger,0.734
revolta,anger,0.734
guerra,anger,0.734
lixo,anger,0.734
altercação,anger,0.729
belável,anger,0.728
Dia de merda,anger,0.727
motim,anger,0.727
castração,anger,0.727
sabotar,anger,0.727
malévolo,anger,0.721
batida,anger,0.721
desastre,anger,0.721
desastroso,anger,0.720
bastardo,anger,0.719
traição,anger,0.719
Arseholes,anger,0.719
merda de cavalo,anger,0.719
Arrasar,anger,0.719
desdém,anger,0.719
agrava,anger,0.719
brutal,anger,0.719
escaldante,anger,0.719
diabo,anger,0.719
Madden,anger,0.719
maldoso,anger,0.719
gritar,anger,0.719
estrangular,anger,0.719
Vermin,anger,0.719
tumulto,anger,0.719
Criminoso,anger,0.714
Mangle,anger,0.714
anarquismo,anger,0.714
mutilação,anger,0.714
denúncia,anger,0.713
soco,anger,0.713
virulência,anger,0.712
fatal,anger,0.712
machucando,anger,0.712
crucificação,anger,0.712
não gosto de você,anger,0.712
blasfemo,anger,0.712
holocausto,anger,0.712
idiotas,anger,0.712
lutou,anger,0.712
perturbado,anger,0.706
irritado,anger,0.706
atroz,anger,0.706
mal,anger,0.706
agravado,anger,0.703
intimidação,anger,0.703
Dicks,anger,0.703
assassino,anger,0.703
repreensão,anger,0.703
perseguição,anger,0.703
assassino,anger,0.703
sequestrar,anger,0.703
agressão,anger,0.702
armado,anger,0.700
batalha,anger,0.697
tóxico,anger,0.697
rosnando,anger,0.697
veneno,anger,0.697
desapontado,anger,0.693
ressentimento,anger,0.691
assaltante,anger,0.691
insidioso,anger,0.691
desprezo,anger,0.690
Lynch,anger,0.690
temperamento,anger,0.688
Terrível,anger,0.688
DISPARAGEM,anger,0.688
lunático,anger,0.688
valentão,anger,0.688
louco,anger,0.688
me deixa louco,anger,0.688
infanticídio,anger,0.688
dominação,anger,0.688
irritado,anger,0.688
prisão,anger,0.688
xingamento,anger,0.688
volatilidade,anger,0.687
erradicação,anger,0.685
erradicar,anger,0.682
birra,anger,0.682
canalha,anger,0.682
devastar,anger,0.682
agressivamente,anger,0.680
agitação,anger,0.680
ditadura,anger,0.676
irrita,anger,0.676
profanidade,anger,0.673
empurrão,anger,0.672
nojento,anger,0.672
tomada,anger,0.672
cruelmente,anger,0.672
atirar,anger,0.672
condenação,anger,0.672
esmagado,anger,0.672
agravamento,anger,0.672
venenoso,anger,0.672
flagrante,anger,0.672
crime,anger,0.672
corrupção,anger,0.672
covarde,anger,0.672
desprezo,anger,0.672
prejudicial,anger,0.672
palavrão,anger,0.672
Wreak,anger,0.672
maníaco,anger,0.670
Corte a garganta,anger,0.667
inimigo,anger,0.667
bater,anger,0.667
odiar todos,anger,0.667
erupção,anger,0.667
irritável,anger,0.667
odioso,anger,0.667
tiroteio,anger,0.667
gritar,anger,0.667
agressivo,anger,0.667
chute,anger,0.667
combate,anger,0.667
lutar,anger,0.667
punido,anger,0.662
gritar,anger,0.661
emboscada,anger,0.661
molestar,anger,0.659
maligno,anger,0.656
agressor,anger,0.656
Gore,anger,0.656
destruição,anger,0.656
rancor,anger,0.656
anticristo,anger,0.656
incenso,anger,0.656
expulsar,anger,0.656
irritadiço,anger,0.653
escravo,anger,0.652
represália,anger,0.652
rosnar,anger,0.652
antipatia,anger,0.652
insurreição,anger,0.652
conflitando,anger,0.652
denunciar,anger,0.652
ofendido,anger,0.652
palmada,anger,0.652
insulto,anger,0.652
rosnos,anger,0.649
carrasco,anger,0.644
twat,anger,0.644
Apocalipse,anger,0.643
obscenidade,anger,0.641
acusado,anger,0.641
feudo,anger,0.641
Daemon,anger,0.641
Havoc,anger,0.641
manilha,anger,0.641
indesculpável,anger,0.641
indignado,anger,0.641
grr,anger,0.641
expulsão,anger,0.641
bombardear,anger,0.641
cuspida,anger,0.641
incêndio culposo,anger,0.641
reprimenda,anger,0.641
tão louco,anger,0.637
frustrado,anger,0.636
massa,anger,0.636
chutando,anger,0.636
anarquia,anger,0.636
palmada,anger,0.636
gritante,anger,0.636
suicida,anger,0.636
nojento,anger,0.636
ferimento,anger,0.636
pendurado,anger,0.636
envenenado,anger,0.636
combatente,anger,0.636
naufragado,anger,0.633
infligir,anger,0.633
Grievous,anger,0.632
processar,anger,0.630
agitad,anger,0.630
trair,anger,0.630
suástica,anger,0.627
ferir,anger,0.625
acusação,anger,0.625
flagelo,anger,0.625
provocação,anger,0.625
asfixia,anger,0.625
conflito,anger,0.625
ataque,anger,0.625
escravizado,anger,0.625
maldição,anger,0.625
difamatório,anger,0.625
assediar,anger,0.625
trovejando,anger,0.625
trair,anger,0.625
Arsehole,anger,0.624
roubo,anger,0.621
insano,anger,0.621
retaliação,anger,0.621
irritar,anger,0.621
privação,anger,0.621
demônio,anger,0.621
idiota,anger,0.621
condenar,anger,0.621
xingado,anger,0.619
turbulência,anger,0.618
Smack,anger,0.615
retribuição,anger,0.614
rebelião,anger,0.609
opressor,anger,0.609
gangue,anger,0.609
escravidão,anger,0.609
intolerável,anger,0.609
desfavoraveis,anger,0.609
prejudicial,anger,0.609
twats,anger,0.609
colisão,anger,0.609
bateria,anger,0.609
amargamente,anger,0.609
antagonismo,anger,0.609
irritabilidade,anger,0.609
desonrado,anger,0.608
diatribe,anger,0.606
Idiota,anger,0.606
explosão,anger,0.606
bombardeamento,anger,0.606
irrita,anger,0.606
reclamando,anger,0.606
revolução,anger,0.606
bandido,anger,0.606
antagônico,anger,0.606
irritante,anger,0.606
doentio,anger,0.606
discriminação,anger,0.606
frustrar,anger,0.604
insulto,anger,0.603
prejudicial,anger,0.603
opressão,anger,0.603
manipulação,anger,0.603
cansado disso,anger,0.603
intolerante,anger,0.603
tensão,anger,0.603
nojo,anger,0.602
Despeito,anger,0.600
intrusivo,anger,0.598
aspereza,anger,0.597
SLUR,anger,0.596
tempestade,anger,0.594
assalto,anger,0.594
amargura,anger,0.594
