word,emotion,lexicon_score
brutalidade,0,0.959
ódio,0,0.953
odioso,0,0.94
aterrorizar,0,0.939
violentamente,0,0.938
enfurecido,0,0.938
furioso,0,0.929
furiosamente,0,0.927
enfurecido,0,0.927
dane-se,0,0.924
assassino,0,0.922
fúria,0,0.922
execução,0,0.917
irritado,0,0.916
selvageria,0,0.915
matando,0,0.914
muito bravo,0,0.913
assassinar,0,0.912
aniquilação,0,0.912
Foda -se,0,0.912
raiva,0,0.911
odia,0,0.909
Fucktard,0,0.906
Estrada Violenta,0,0.906
condenação,0,0.906
homicida,0,0.906
furor,0,0.9
hostil,0,0.898
aniquilar,0,0.898
assassinato,0,0.897
Raging,0,0.896
tão irritado,0,0.894
enfurecem,0,0.894
chateado,0,0.894
estupro,0,0.894
feroz,0,0.894
vingativo,0,0.894
obliterado,0,0.894
explosivo,0,0.894
matando,0,0.893
combativo,0,0.891
vingança,0,0.886
Vá se foder,0,0.886
tormento,0,0.885
fúria,0,0.885
vicioso,0,0.884
massacre,0,0.882
ameaçador,0,0.882
abominável,0,0.875
sanguinário,0,0.875
não me chateies,0,0.875
brigando,0,0.868
atacante,0,0.865
aniquilado,0,0.865
mais irritado,0,0.864
derramamento de sangue,0,0.864
desbaratar,0,0.862
briga,0,0.861
malicioso,0,0.859
assassinato,0,0.859
estrangular,0,0.859
hostilidade,0,0.859
assalto,0,0.859
explodir,0,0.859
Manada,0,0.859
repugnante,0,0.857
inferno,0,0.853
assassino,0,0.853
ataque,0,0.853
malícia,0,0.852
terrorismo,0,0.851
espancamento,0,0.849
ultraje,0,0.848
profanação,0,0.848
Me irritando,0,0.848
destruindo,0,0.844
massacre,0,0.844
irado,0,0.844
violento,0,0.844
facada,0,0.844
abominação,0,0.844
tumultuado,0,0.844
enfurecer,0,0.844
obliterar,0,0.843
beligerante,0,0.841
Dumbbitch,0,0.841
detestar,0,0.838
hostilidades,0,0.837
picada,0,0.835
tumulto,0,0.833
horrível,0,0.833
crueldade,0,0.833
tortura,0,0.833
raivoso,0,0.833
desprezível,0,0.828
tirânico,0,0.828
demoníaco,0,0.828
satânico,0,0.828
odiar,0,0.828
modo furioso,0,0.828
odiar,0,0.828
ruinoso,0,0.825
condenar,0,0.825
tumultos,0,0.824
demolir,0,0.824
nervoso,0,0.824
extermínio,0,0.824
Dickhead,0,0.824
lívido,0,0.821
louco,0,0.82
vingativo,0,0.819
terrorista,0,0.818
ameaçar,0,0.818
venenosa,0,0.818
odeio você,0,0.818
ferocidade,0,0.818
effyou,0,0.818
abominar,0,0.816
carnificina,0,0.814
selvagem,0,0.814
atrocidade,0,0.814
Foda -se o saquê,0,0.812
Abuso,0,0.812
feroz,0,0.812
destruidor,0,0.812
Tweet zangado,0,0.812
bárbaro,0,0.812
vendeta,0,0.812
Me irrita,0,0.812
puto,0,0.812
tirano,0,0.812
Berserk,0,0.812
fumando,0,0.812
raiva,0,0.811
pedaço de merda,0,0.81
perfurado,0,0.803
perfuração,0,0.803
bater,0,0.803
homicídio,0,0.803
cadela,0,0.803
brigas,0,0.803
impiedoso,0,0.797
vilão,0,0.797
destrutivo,0,0.797
tapa,0,0.791
rebelião,0,0.788
crescer,0,0.788
punição,0,0.788
Slaughter House,0,0.788
gritando,0,0.788
diabólico,0,0.788
destruído,0,0.788
Tweet RAGE,0,0.788
retaliatória,0,0.788
homicídio culposo,0,0.783
choque,0,0.783
briga,0,0.781
sangrento,0,0.781
infernal,0,0.781
sinistro,0,0.781
relutante,0,0.781
detonação,0,0.781
acusando,0,0.779
Fumin,0,0.779
Hateeee,0,0.779
traiçoeiro,0,0.779
Madder,0,0.773
horrível,0,0.773
Repulsão,0,0.773
retaliar,0,0.773
desprezo,0,0.769
bombear,0,0.766
deplorável,0,0.766
devastação,0,0.765
anarquista,0,0.765
tempestade de fogo,0,0.765
ressentir -se,0,0.765
desprezível,0,0.764
SATEST,0,0.76
Rant,0,0.758
cruel,0,0.758
mortal,0,0.758
esmagar,0,0.758
Tão zangado,0,0.758
explosão,0,0.757
rosnar,0,0.754
profano,0,0.75
revoltante,0,0.75
agravante,0,0.75
Horror,0,0.75
desprezo,0,0.75
ofender,0,0.75
stfu,0,0.75
vulgaridade,0,0.75
enlouquecido,0,0.75
Idiotas,0,0.75
rosnando,0,0.75
Não mexa comigo,0,0.75
gritando,0,0.742
ameaça,0,0.742
erupção,0,0.742
horrível,0,0.742
molestação,0,0.742
Fodido,0,0.742
violência,0,0.742
bastardos,0,0.741
vingança,0,0.738
ameaçador,0,0.735
esmagando,0,0.735
droga,0,0.735
catástrofe,0,0.735
demônio,0,0.735
discutir,0,0.734
perseguir,0,0.734
deplore,0,0.734
açoitar,0,0.734
cheio,0,0.734
tumultuoso,0,0.734
veemente,0,0.734
revolta,0,0.734
guerra,0,0.734
lixo,0,0.734
altercação,0,0.729
belável,0,0.728
Dia de merda,0,0.727
motim,0,0.727
castração,0,0.727
sabotar,0,0.727
malévolo,0,0.721
batida,0,0.721
desastre,0,0.721
desastroso,0,0.72
bastardo,0,0.719
traição,0,0.719
Arseholes,0,0.719
merda de cavalo,0,0.719
Arrasar,0,0.719
desdém,0,0.719
agrava,0,0.719
brutal,0,0.719
escaldante,0,0.719
diabo,0,0.719
Madden,0,0.719
maldoso,0,0.719
gritar,0,0.719
estrangular,0,0.719
Vermin,0,0.719
tumulto,0,0.719
Criminoso,0,0.714
Mangle,0,0.714
anarquismo,0,0.714
mutilação,0,0.714
denúncia,0,0.713
soco,0,0.713
virulência,0,0.712
fatal,0,0.712
machucando,0,0.712
crucificação,0,0.712
não gosto de você,0,0.712
blasfemo,0,0.712
holocausto,0,0.712
idiotas,0,0.712
lutou,0,0.712
perturbado,0,0.706
irritado,0,0.706
atroz,0,0.706
mal,0,0.706
agravado,0,0.703
intimidação,0,0.703
Dicks,0,0.703
assassino,0,0.703
repreensão,0,0.703
perseguição,0,0.703
assassino,0,0.703
sequestrar,0,0.703
agressão,0,0.702
armado,0,0.7
batalha,0,0.697
tóxico,0,0.697
rosnando,0,0.697
veneno,0,0.697
desapontado,0,0.693
ressentimento,0,0.691
assaltante,0,0.691
insidioso,0,0.691
desprezo,0,0.69
Lynch,0,0.69
temperamento,0,0.688
Terrível,0,0.688
DISPARAGEM,0,0.688
lunático,0,0.688
valentão,0,0.688
louco,0,0.688
me deixa louco,0,0.688
infanticídio,0,0.688
dominação,0,0.688
irritado,0,0.688
prisão,0,0.688
xingamento,0,0.688
volatilidade,0,0.687
erradicação,0,0.685
erradicar,0,0.682
birra,0,0.682
canalha,0,0.682
devastar,0,0.682
agressivamente,0,0.68
agitação,0,0.68
ditadura,0,0.676
irrita,0,0.676
profanidade,0,0.673
empurrão,0,0.672
nojento,0,0.672
tomada,0,0.672
cruelmente,0,0.672
atirar,0,0.672
condenação,0,0.672
esmagado,0,0.672
agravamento,0,0.672
venenoso,0,0.672
flagrante,0,0.672
crime,0,0.672
corrupção,0,0.672
covarde,0,0.672
desprezo,0,0.672
prejudicial,0,0.672
palavrão,0,0.672
Wreak,0,0.672
maníaco,0,0.67
Corte a garganta,0,0.667
inimigo,0,0.667
bater,0,0.667
odiar todos,0,0.667
erupção,0,0.667
irritável,0,0.667
odioso,0,0.667
tiroteio,0,0.667
gritar,0,0.667
agressivo,0,0.667
chute,0,0.667
combate,0,0.667
lutar,0,0.667
punido,0,0.662
gritar,0,0.661
emboscada,0,0.661
molestar,0,0.659
maligno,0,0.656
agressor,0,0.656
Gore,0,0.656
destruição,0,0.656
rancor,0,0.656
anticristo,0,0.656
incenso,0,0.656
expulsar,0,0.656
irritadiço,0,0.653
escravo,0,0.652
represália,0,0.652
rosnar,0,0.652
antipatia,0,0.652
insurreição,0,0.652
conflitando,0,0.652
denunciar,0,0.652
ofendido,0,0.652
palmada,0,0.652
insulto,0,0.652
rosnos,0,0.649
carrasco,0,0.644
twat,0,0.644
Apocalipse,0,0.643
obscenidade,0,0.641
acusado,0,0.641
feudo,0,0.641
Daemon,0,0.641
Havoc,0,0.641
manilha,0,0.641
indesculpável,0,0.641
indignado,0,0.641
grr,0,0.641
expulsão,0,0.641
bombardear,0,0.641
cuspida,0,0.641
incêndio culposo,0,0.641
