word,emotion,accuracy
mutilação,disgust,0.930
molestação,disgust,0.914
incesto,disgust,0.914
estupro,disgust,0.906
gonorréia,disgust,0.906
canibal,disgust,0.898
podridão,disgust,0.891
cadáver,disgust,0.883
massacre,disgust,0.883
excremento,disgust,0.883
BARF,disgust,0.875
massacre,disgust,0.875
matadouro,disgust,0.867
incestuoso,disgust,0.859
sistema de esgoto,disgust,0.859
sujeira,disgust,0.859
intolerante,disgust,0.859
rançoso,disgust,0.859
infestação,disgust,0.852
praga,disgust,0.852
holocausto,disgust,0.852
sanguinário,disgust,0.852
apodrecendo,disgust,0.844
Fecal,disgust,0.844
larva,disgust,0.844
fezes,disgust,0.844
assassinato,disgust,0.839
Idiota,disgust,0.836
homicídio,disgust,0.836
escravizado,disgust,0.836
infanticídio,disgust,0.836
pervertido,disgust,0.828
excreção,disgust,0.828
Gore,disgust,0.828
matando,disgust,0.828
tortura,disgust,0.828
contaminar,disgust,0.821
revoltante,disgust,0.820
sangrento,disgust,0.820
merda,disgust,0.820
terrorista,disgust,0.820
assassino,disgust,0.820
repugnante,disgust,0.820
estrume,disgust,0.820
perverter,disgust,0.820
diarréia,disgust,0.820
grotesco,disgust,0.820
profanação,disgust,0.820
fezes,disgust,0.812
escravidão,disgust,0.812
esgoto,disgust,0.812
cadáver,disgust,0.812
homicídio culposo,disgust,0.812
desmembramento,disgust,0.812
vomitar,disgust,0.812
perverso,disgust,0.805
repulsivo,disgust,0.805
hemorragia,disgust,0.805
esgoto,disgust,0.797
imundo,disgust,0.797
doente,disgust,0.797
depravação,disgust,0.797
carcaça,disgust,0.795
decompor,disgust,0.789
horrível,disgust,0.789
mutilado,disgust,0.789
vomitar,disgust,0.789
herpes,disgust,0.789
deteriorado,disgust,0.789
estrume,disgust,0.789
Vermin,disgust,0.789
assassino,disgust,0.789
parasita,disgust,0.789
horrível,disgust,0.789
carnificina,disgust,0.781
malária,disgust,0.781
lodo,disgust,0.781
flatulência,disgust,0.781
peste,disgust,0.781
besteira,disgust,0.781
monstruosidade,disgust,0.781
repugnante,disgust,0.773
tóxico,disgust,0.773
necrotério,disgust,0.773
pus,disgust,0.773
herpesvírus,disgust,0.773
lepra,disgust,0.773
insidioso,disgust,0.773
cruel,disgust,0.766
regurgitação,disgust,0.766
antraz,disgust,0.766
xenofobia,disgust,0.766
repugnância,disgust,0.766
Lynch,disgust,0.766
Repulsão,disgust,0.766
prostituta,disgust,0.766
dissecção,disgust,0.759
muco,disgust,0.758
corroer,disgust,0.758
favela,disgust,0.758
infeccioso,disgust,0.758
mal,disgust,0.758
fleuma,disgust,0.758
crueldade,disgust,0.758
perversão,disgust,0.758
sinistro,disgust,0.750
sanguessugas,disgust,0.750
corrupção,disgust,0.750
decomposição,disgust,0.750
abominação,disgust,0.742
fedorento,disgust,0.742
bile,disgust,0.742
demoníaco,disgust,0.742
perturbado,disgust,0.742
aversão,disgust,0.742
suja,disgust,0.742
muco,disgust,0.742
séptico,disgust,0.742
doentio,disgust,0.742
demônio,disgust,0.742
Câncer,disgust,0.734
obeso,disgust,0.734
degeneração,disgust,0.734
desprezível,disgust,0.734
atrocidade,disgust,0.734
falta,disgust,0.734
adoecer,disgust,0.734
crucificação,disgust,0.734
terrorismo,disgust,0.734
repulsão,disgust,0.727
morbidade,disgust,0.727
disenteria,disgust,0.727
enema,disgust,0.727
bactéria,disgust,0.727
sujo,disgust,0.727
adultério,disgust,0.727
contaminação,disgust,0.727
Grisly,disgust,0.727
diabólico,disgust,0.727
autópsia,disgust,0.719
bárbaro,disgust,0.719
vulgar,disgust,0.719
entranhas,disgust,0.719
nojo,disgust,0.719
sensual,disgust,0.719
MUCK,disgust,0.719
entranhas,disgust,0.719
lixo,disgust,0.719
deterioração,disgust,0.719
contágio,disgust,0.719
vicioso,disgust,0.719
desfigurado,disgust,0.719
pungente,disgust,0.719
bruto,disgust,0.719
derramamento de sangue,disgust,0.714
mordaça,disgust,0.711
poluir,disgust,0.711
náusea,disgust,0.711
tirano,disgust,0.711
miserável,disgust,0.711
mortificação,disgust,0.711
violento,disgust,0.711
envenenado,disgust,0.711
Nauseado,disgust,0.703
viscoso,disgust,0.703
tatear,disgust,0.703
vagabunda,disgust,0.703
nojento,disgust,0.703
nojento,disgust,0.703
depravado,disgust,0.703
pornô,disgust,0.703
odioso,disgust,0.703
vulgaridade,disgust,0.703
nocivo,disgust,0.703
sujeira,disgust,0.703
constipação,disgust,0.703
secreção,disgust,0.703
envenenamento,disgust,0.703
despotismo,disgust,0.703
sarampo,disgust,0.696
transmissível,disgust,0.695
obesidade,disgust,0.695
verruga,disgust,0.695
odiar,disgust,0.695
infernal,disgust,0.695
escumalha,disgust,0.695
suicida,disgust,0.695
miserável,disgust,0.695
Abuso,disgust,0.695
desperdício,disgust,0.695
intestinal,disgust,0.695
Warxworm,disgust,0.688
ooze,disgust,0.688
traição,disgust,0.688
contaminado,disgust,0.688
Smut,disgust,0.688
doença,disgust,0.688
raivoso,disgust,0.688
deformado,disgust,0.680
inferno,disgust,0.680
Desumano,disgust,0.680
cólera,disgust,0.680
bestial,disgust,0.680
anticristo,disgust,0.680
Freakish,disgust,0.680
germe,disgust,0.680
detestar,disgust,0.680
poluição,disgust,0.680
Grimy,disgust,0.680
abominável,disgust,0.680
ódio,disgust,0.680
abominar,disgust,0.680
doença,disgust,0.680
hediondo,disgust,0.672
ditadura,disgust,0.672
repugnante,disgust,0.672
gorduroso,disgust,0.672
dilapidado,disgust,0.672
desumano,disgust,0.672
repugnância,disgust,0.672
obsceno,disgust,0.672
cess,disgust,0.670
diabo,disgust,0.664
deformidade,disgust,0.664
enjoado,disgust,0.664
mortal,disgust,0.664
suíno,disgust,0.664
discriminação,disgust,0.664
abominável,disgust,0.664
masoquismo,disgust,0.664
herege,disgust,0.664
latrinas,disgust,0.656
corrupção,disgust,0.656
venenoso,disgust,0.656
Horror,disgust,0.656
nefasto,disgust,0.656
bactérias,disgust,0.656
horrível,disgust,0.656
lixo,disgust,0.656
aborto,disgust,0.656
morte,disgust,0.656
preconceituoso,disgust,0.656
tóxico,disgust,0.656
opressão,disgust,0.656
gosma,disgust,0.656
vitimado,disgust,0.656
sarna,disgust,0.656
lodo,disgust,0.648
inútil,disgust,0.648
vingativo,disgust,0.648
horrível,disgust,0.648
feio,disgust,0.648
imoral,disgust,0.648
cadela,disgust,0.648
dedo,disgust,0.648
detestação,disgust,0.648
horrível,disgust,0.641
laxante,disgust,0.641
desagradável,disgust,0.641
