word,emotion,accuracy
excitado,antecipation,0.859
excitação,antecipation,0.820
antecipar,antecipation,0.820
ansiedade,antecipation,0.812
excitante,antecipation,0.797
expectante,antecipation,0.789
emocionante,antecipation,0.781
ter esperança,antecipation,0.773
busca,antecipation,0.766
contagem regressiva,antecipation,0.750
começar,antecipation,0.750
antecipatório,antecipation,0.750
aventura,antecipation,0.750
expectativa,antecipation,0.750
clímax,antecipation,0.742
profecia,antecipation,0.742
esperar,antecipation,0.742
excitar,antecipation,0.742
despertar,antecipation,0.742
ansioso,antecipation,0.742
ejaculação,antecipation,0.734
aniversário,antecipation,0.734
anúncio,antecipation,0.734
expectativa,antecipation,0.727
esperando,antecipation,0.727
iminente,antecipation,0.727
libertação,antecipation,0.727
urgente,antecipation,0.727
trepidação,antecipation,0.719
reunião,antecipation,0.719
prospecção,antecipation,0.719
viagem,antecipation,0.719
Prospect,antecipation,0.719
aspirar,antecipation,0.719
êxtase,antecipation,0.711
Suspense,antecipation,0.711
jornada,antecipation,0.711
beijo,antecipation,0.711
entusiasmo,antecipation,0.711
anseio,antecipation,0.711
êxtase,antecipation,0.711
mistério,antecipation,0.711
Prospectiva,antecipation,0.703
frenético,antecipation,0.703
destino,antecipation,0.703
excitação,antecipation,0.703
loteria,antecipation,0.703
esperançoso,antecipation,0.703
emoção,antecipation,0.703
progresso,antecipation,0.703
urgência,antecipation,0.703
tentador,antecipation,0.703
libertar,antecipation,0.695
pressa,antecipation,0.695
explorar,antecipation,0.695
avançar,antecipation,0.695
férias,antecipation,0.695
sexo,antecipation,0.695
conquista,antecipation,0.695
prontidão,antecipation,0.695
expectativa,antecipation,0.695
predição,antecipation,0.695
chegada,antecipation,0.695
fascínio,antecipation,0.688
Ecstático,antecipation,0.688
Aproximando,antecipation,0.688
lua de mel,antecipation,0.680
roleta,antecipation,0.680
revolta,antecipation,0.680
feriado,antecipation,0.672
crescendo,antecipation,0.672
a comemorar,antecipation,0.672
ansioso,antecipation,0.672
esperando,antecipation,0.664
convite,antecipation,0.664
resgatar,antecipation,0.664
iminente,antecipation,0.664
ganhando,antecipation,0.664
desejo,antecipation,0.664
ganhos,antecipation,0.664
triunfo,antecipation,0.664
orgasmo,antecipation,0.664
casado,antecipation,0.656
nupcial,antecipation,0.656
vitória,antecipation,0.656
namoro,antecipation,0.656
ganho,antecipation,0.656
aspirante,antecipation,0.656
esforço,antecipation,0.656
recompensa,antecipation,0.656
