word,emotion,accuracy
terrorista,fear,0.972
terroristas,fear,0.969
horrível,fear,0.969
terrorismo,fear,0.969
suicídio de bomba,fear,0.967
matar,fear,0.962
homicida,fear,0.959
catástrofe,fear,0.953
aniquilar,fear,0.953
assassino,fear,0.953
terror,fear,0.953
morrendo,fear,0.948
guerra,fear,0.942
bombardeio,fear,0.938
bombear,fear,0.935
mísseis,fear,0.934
Horror,fear,0.923
brutalidade,fear,0.922
aterrorizar,fear,0.922
horrorizado,fear,0.922
sanguinário,fear,0.922
assassino,fear,0.920
massacre,fear,0.911
aterrorizante,fear,0.906
fatalidade,fear,0.906
horrível,fear,0.906
demônio,fear,0.906
mutilação,fear,0.906
matando,fear,0.906
holocausto,fear,0.906
assassinar,fear,0.906
aterrorizado,fear,0.906
devastação,fear,0.906
assassinato,fear,0.906
horrores,fear,0.906
suicida,fear,0.898
assalto,fear,0.891
sequestrar,fear,0.891
massacre,fear,0.891
crucificação,fear,0.891
condenado,fear,0.888
envenenado,fear,0.886
suicídio,fear,0.879
explosão,fear,0.879
mortal,fear,0.875
assassino,fear,0.875
aniquilação,fear,0.875
selvageria,fear,0.875
desastre,fear,0.875
ameaçador,fear,0.875
matando,fear,0.875
desastroso,fear,0.875
desmembramento,fear,0.875
asfixia,fear,0.875
estupro,fear,0.870
inferno,fear,0.860
homicídio,fear,0.859
molestação,fear,0.859
derramamento de sangue,fear,0.859
bárbaro,fear,0.859
explosivo,fear,0.859
guerra,fear,0.859
eu odeio aranhas,fear,0.859
tragédia,fear,0.859
antraz,fear,0.859
demoníaco,fear,0.859
carrasco,fear,0.859
temor,fear,0.859
guilhotina,fear,0.859
atacante,fear,0.859
perigo,fear,0.859
matadouro,fear,0.859
aniquilado,fear,0.859
sufocante,fear,0.858
traição,fear,0.856
susto,fear,0.853
monstro,fear,0.844
traumático,fear,0.844
abominação,fear,0.844
apocalipse,fear,0.844
assassino,fear,0.844
susto,fear,0.844
necrotério,fear,0.844
doloroso,fear,0.844
com medo,fear,0.844
vingança,fear,0.844
mais assustador,fear,0.844
destruindo,fear,0.844
execução,fear,0.844
em pânico,fear,0.844
petrificado,fear,0.844
com medo,fear,0.844
assustador,fear,0.844
afogar,fear,0.844
bombardeamento,fear,0.844
morte,fear,0.843
caos,fear,0.839
horrivelmente,fear,0.836
mal,fear,0.833
intruso,fear,0.828
infernal,fear,0.828
brutal,fear,0.828
Câncer,fear,0.828
diabo,fear,0.828
granada,fear,0.828
erradicação,fear,0.828
amedrontar,fear,0.828
explodir,fear,0.828
assassinato,fear,0.828
fatal,fear,0.828
paralisar,fear,0.828
pistoleiros,fear,0.828
violentamente,fear,0.828
pesadelo,fear,0.828
Apocalipse,fear,0.828
ruína,fear,0.828
homicídio culposo,fear,0.828
temer,fear,0.828
seqüestrado,fear,0.828
trauma,fear,0.828
morbidade,fear,0.820
aleijante,fear,0.817
selvagem,fear,0.814
tiroteio,fear,0.812
terremoto,fear,0.812
venenoso,fear,0.812
condenação,fear,0.812
violência,fear,0.812
destrutivo,fear,0.812
agressor,fear,0.812
Sofrimento,fear,0.812
violento,fear,0.812
assustador,fear,0.812
esmagado,fear,0.812
terremoto,fear,0.812
ataque cardíaco,fear,0.812
furacão,fear,0.811
preso,fear,0.811
exterminar,fear,0.810
temendo,fear,0.808
hemorragia,fear,0.807
tormento,fear,0.806
letal,fear,0.806
veneno,fear,0.804
claustrofobia,fear,0.803
cobras,fear,0.802
perigo,fear,0.802
exorcismo,fear,0.800
obliterado,fear,0.800
roubo,fear,0.800
aterroriza,fear,0.798
cianeto,fear,0.797
incurável,fear,0.797
ataque de ansiedade,fear,0.797
mortalidade,fear,0.797
ataque,fear,0.797
monstruosidade,fear,0.797
extermínio,fear,0.797
Bombers,fear,0.797
prejudicial,fear,0.797
perseguição,fear,0.797
maior medo,fear,0.797
tóxico,fear,0.797
crueldade,fear,0.797
histeria,fear,0.797
destruição,fear,0.797
terrivelmente,fear,0.796
incêndio culposo,fear,0.794
devastar,fear,0.792
tirano,fear,0.788
crimes de guerra,fear,0.785
perecer,fear,0.784
temido,fear,0.782
maníaco,fear,0.781
sangrento,fear,0.781
pirando,fear,0.781
belável,fear,0.781
tumulto,fear,0.781
gritando,fear,0.781
sem vida,fear,0.781
escravizado,fear,0.781
venenosa,fear,0.781
cobra,fear,0.776
epidemia,fear,0.776
ataque de pânico,fear,0.774
crise,fear,0.766
perigoso,fear,0.766
medo,fear,0.766
perigosamente,fear,0.766
naufrágio,fear,0.766
apavorante,fear,0.766
tumor,fear,0.766
invasor,fear,0.766
invadir,fear,0.766
morrer,fear,0.766
detonar,fear,0.766
violação,fear,0.766
represália,fear,0.766
Criminoso,fear,0.766
rebelião,fear,0.766
obliterar,fear,0.766
inferno,fear,0.766
lepra,fear,0.766
jihad,fear,0.766
Ah Merda,fear,0.766
Claustrofóbico,fear,0.765
hiper-ventilação,fear,0.762
pesadelos,fear,0.759
destruído,fear,0.754
espectral,fear,0.754
traiçoeiro,fear,0.750
TEPT,fear,0.750
tragédias,fear,0.750
escravidão,fear,0.750
cólera,fear,0.750
anarquista,fear,0.750
pânico,fear,0.750
Anaconda,fear,0.750
furacões,fear,0.750
dolorido,fear,0.750
tirania,fear,0.750
prisão,fear,0.750
terrível,fear,0.750
agonia,fear,0.750
perigoso,fear,0.750
obliteração,fear,0.750
projéteis,fear,0.750
destruidor,fear,0.750
estrangular,fear,0.750
perigo,fear,0.750
tumultuoso,fear,0.750
acidente,fear,0.750
mortuário,fear,0.750
anarquia,fear,0.750
medos,fear,0.750
malignidade,fear,0.742
bombardear,fear,0.740
canibal,fear,0.740
abominável,fear,0.738
depravado,fear,0.734
bombardeiro,fear,0.734
colidir,fear,0.734
tornado,fear,0.734
vitimado,fear,0.734
hiper ventilação,fear,0.734
corpo a corpo,fear,0.734
amaldiçoado,fear,0.734
motim,fear,0.734
ditadura,fear,0.734
atirar,fear,0.734
horrível,fear,0.734
miséria,fear,0.734
Gore,fear,0.734
paralisia,fear,0.734
tirânico,fear,0.734
míssil,fear,0.734
pistola,fear,0.734
diabólico,fear,0.734
doente,fear,0.734
tomada,fear,0.734
máfia,fear,0.734
fera,fear,0.734
maligno,fear,0.734
assustado,fear,0.734
refém,fear,0.734
ameaçar,fear,0.734
turbulência,fear,0.733
combate,fear,0.728
jacaré,fear,0.727
ruína,fear,0.725
atirador,fear,0.722
transmissível,fear,0.720
crime,fear,0.719
gritar,fear,0.719
ferido,fear,0.719
desespero,fear,0.719
luta,fear,0.719
choque,fear,0.719
convulsão,fear,0.719
Lynch,fear,0.719
mortificação,fear,0.719
lutar,fear,0.719
ferir,fear,0.719
emergência,fear,0.719
fobia,fear,0.719
Havoc,fear,0.719
devastador,fear,0.719
excruciante,fear,0.719
acidente,fear,0.719
aborto espontâneo,fear,0.719
inanição,fear,0.719
freneticamente,fear,0.717
carnificina,fear,0.717
Stoff,fear,0.716
infestação,fear,0.716
muito assustador,fear,0.712
em pânico,fear,0.708
ruptura,fear,0.706
horrível,fear,0.705
frenético,fear,0.705
sabotar,fear,0.703
vendeta,fear,0.703
arsênico,fear,0.703
assustado,fear,0.703
enterro,fear,0.703
SOS,fear,0.703
COBRA,fear,0.703
temido,fear,0.703
angustiante,fear,0.703
agressivo,fear,0.703
presa,fear,0.703
corte,fear,0.703
ódio,fear,0.703
esquizofrenia,fear,0.703
revolta,fear,0.703
armado,fear,0.703
colapso,fear,0.703
perturbado,fear,0.703
assaltante,fear,0.703
terminal,fear,0.703
praga,fear,0.703
malévolo,fear,0.703
psicose,fear,0.703
carcinoma,fear,0.703
diabólico,fear,0.703
naufragado,fear,0.703
Grisly,fear,0.703
histérico,fear,0.703
fugitivo,fear,0.703
neurótico,fear,0.703
feitiçaria,fear,0.703
avalanche,fear,0.703
angústia,fear,0.703
aleijado,fear,0.703
agonizante,fear,0.703
infeccioso,fear,0.703
crocodilo,fear,0.700
à força,fear,0.700
abdução,fear,0.700
agressor,fear,0.698
caos,fear,0.690
ferir,fear,0.688
estilhaços,fear,0.688
bestial,fear,0.688
raivoso,fear,0.688
guerrilha,fear,0.688
emboscada,fear,0.688
em perigo,fear,0.688
leucemia,fear,0.688
contágio,fear,0.688
anarquismo,fear,0.688
paranóico,fear,0.688
cadáver,fear,0.688
agorafobia,fear,0.688
alarme,fear,0.688
trepidação,fear,0.688
explosão,fear,0.688
sangrento,fear,0.688
ciclone,fear,0.688
briga,fear,0.688
sem esperança,fear,0.688
banir,fear,0.688
doença,fear,0.688
hostil,fear,0.688
opressão,fear,0.688
ferimento,fear,0.688
ansiedade social,fear,0.688
radiação,fear,0.688
forca,fear,0.686
caixão,fear,0.684
loucura,fear,0.675
assustado,fear,0.673
fúria,fear,0.672
ameaça,fear,0.672
perecendo,fear,0.672
vítima,fear,0.672
sinistro,fear,0.672
bandido,fear,0.672
carcaça,fear,0.672
quebrar,fear,0.672
sinistro,fear,0.672
criminoso,fear,0.672
facada,fear,0.672
Tremendo,fear,0.672
revólver,fear,0.672
militantes,fear,0.672
masmorra,fear,0.672
surto,fear,0.672
FrankenStorm,fear,0.672
víbora,fear,0.672
combatente,fear,0.672
Vermin,fear,0.672
nervoso,fear,0.672
ameaçador,fear,0.672
machucando,fear,0.672
perseguir,fear,0.672
presas,fear,0.672
milícia,fear,0.672
ferida,fear,0.672
mais assustado,fear,0.672
Mangle,fear,0.672
gangue,fear,0.672
esmagando,fear,0.672
erupção,fear,0.672
tão assustado,fear,0.672
fantasma,fear,0.672
horrível,fear,0.672
abominável,fear,0.672
Abuso,fear,0.672
Freakedout,fear,0.672
atrocidade,fear,0.672
tarântula,fear,0.672
feroz,fear,0.667
batido,fear,0.667
desolação,fear,0.667
pandemia,fear,0.664
Cutthroat,fear,0.664
vulcão,fear,0.663
sustos,fear,0.660
cruelmente,fear,0.658
esmagar,fear,0.656
xenofobia,fear,0.656
tufão,fear,0.656
aranha,fear,0.656
alarmante,fear,0.656
nefasto,fear,0.656
opressivo,fear,0.656
traição,fear,0.656
neurose,fear,0.656
cruel,fear,0.656
enlouquecido,fear,0.656
coma,fear,0.656
AVC,fear,0.656
tumulto,fear,0.656
medo,fear,0.656
campo de batalha,fear,0.656
Emetofobia,fear,0.656
ditador,fear,0.656
armamento,fear,0.656
nevasca,fear,0.656
purgatório,fear,0.656
lunático,fear,0.656
valentão,fear,0.656
