word,emotion,accuracy
felicidade,joy,0.984
bênção,joy,0.971
a comemorar,joy,0.970
Jubilante,joy,0.969
Ecstático,joy,0.954
alegria,joy,0.944
radiante,joy,0.938
melhor dia de todos,joy,0.938
Loveee,joy,0.932
celebração,joy,0.929
Maravilha,joy,0.926
alegria,joy,0.924
feliz,joy,0.922
fabuloso,joy,0.922
Felizmente,joy,0.922
excitação,joy,0.922
exuberância,joy,0.922
me faz feliz,joy,0.922
euforia,joy,0.922
Lovee,joy,0.920
gratidão,joy,0.914
dança feliz,joy,0.912
alegria,joy,0.912
espetacular,joy,0.912
muito feliz,joy,0.909
puro êxtase,joy,0.909
triunfante,joy,0.907
êxtase,joy,0.906
amor Amor amor,joy,0.906
alegre,joy,0.906
alegrar,joy,0.897
exaltado,joy,0.894
paz de espírito,joy,0.891
alegre,joy,0.891
encantado,joy,0.891
amo isso,joy,0.891
excitação,joy,0.891
alegria,joy,0.891
prazeres,joy,0.891
rir,joy,0.891
maravilhosamente,joy,0.881
amoroso,joy,0.879
alegre,joy,0.879
feliz,joy,0.879
fora do comum,joy,0.879
agradável,joy,0.877
vida amorosa,joy,0.875
entusiasmado,joy,0.875
alegria,joy,0.875
eu amo ela,joy,0.875
yaaaay,joy,0.875
sobre a Lua,joy,0.875
lugar feliz,joy,0.875
tão feliz,joy,0.868
excelente,joy,0.864
woohoo,joy,0.864
rindo,joy,0.864
maravilhoso,joy,0.863
Viva,joy,0.859
amado,joy,0.859
lágrimas de alegria,joy,0.859
Aleluia,joy,0.859
magnífico,joy,0.859
glória,joy,0.859
Eu amo o natal,joy,0.859
brilhante,joy,0.859
célebre,joy,0.859
torcendo,joy,0.859
Yayyyy,joy,0.859
celestial,joy,0.853
excitante,joy,0.853
entusiasmado,joy,0.851
fez o meu dia,joy,0.848
Hohoho,joy,0.845
comemoro,joy,0.844
maravilhosamente,joy,0.844
bênção,joy,0.844
feriado favorito,joy,0.844
paraíso,joy,0.833
maravilhoso,joy,0.833
festivo,joy,0.833
Doçura,joy,0.833
abençoado,joy,0.833
celebrações,joy,0.833
elogio,joy,0.831
sorridente,joy,0.828
Allsmiles,joy,0.828
amor,joy,0.828
encantador,joy,0.828
lar Doce Lar,joy,0.826
Obrigado,joy,0.824
maravilhoso,joy,0.824
risada,joy,0.824
bom humor,joy,0.819
bondade,joy,0.818
excelência,joy,0.818
sensacional,joy,0.818
alegrias,joy,0.818
delicioso,joy,0.818
excitado,joy,0.818
alegria,joy,0.818
coração feliz,joy,0.818
comemorativo,joy,0.818
ótimo,joy,0.816
jovial,joy,0.814
alegrar,joy,0.812
esplêndido,joy,0.812
aproveitar,joy,0.812
risonho,joy,0.812
glorioso,joy,0.812
vitorioso,joy,0.812
fazer amor,joy,0.812
Bonanza,joy,0.812
Greatday,joy,0.812
excelente,joy,0.812
bons tempos,joy,0.811
WhatMakesMesmile,joy,0.811
dia feliz,joy,0.809
meu favorito,joy,0.804
Obrigado,joy,0.803
alegria,joy,0.803
Yayyy,joy,0.803
yeahhhh,joy,0.803
prazer,joy,0.803
risadinha,joy,0.802
mais feliz,joy,0.797
amo minha vida,joy,0.797
magnificência,joy,0.797
happytweet,joy,0.797
LovinLife,joy,0.797
sim,joy,0.797
dançando,joy,0.797
sucesso,joy,0.797
grato,joy,0.789
divertir,joy,0.788
esplendor,joy,0.788
feliz,joy,0.788
diversão,joy,0.788
rindo,joy,0.781
alegre,joy,0.781
glorificar,joy,0.781
radiante,joy,0.781
lindo,joy,0.781
sortudo,joy,0.781
tão grato,joy,0.781
encantado,joy,0.781
romance,joy,0.779
perfeição,joy,0.779
Natal,joy,0.779
céus,joy,0.779
emocionante,joy,0.776
adorável,joy,0.773
parabéns,joy,0.773
Fiesta,joy,0.773
entreter,joy,0.773
feliz Dia dos namorados,joy,0.773
milagroso,joy,0.773
saúde,joy,0.773
aplaudido,joy,0.773
positividade,joy,0.773
dia divertido,joy,0.772
desfrutando,joy,0.771
a vida é boa,joy,0.766
divertido,joy,0.766
sentimento bom,joy,0.766
espirito natalino,joy,0.766
abraçando,joy,0.766
sorrisos,joy,0.766
Tão doce,joy,0.766
o melhor,joy,0.766
festa,joy,0.765
prazer,joy,0.765
orgasmo,joy,0.765
positivo,joy,0.761
querido,joy,0.758
iluminar,joy,0.758
alegria,joy,0.758
milagres,joy,0.758
vertiginoso,joy,0.757
época de Natal,joy,0.757
satisfazer,joy,0.750
