word,emotion,accuracy
Devendo o coração,sadness,0.969
trágico,sadness,0.961
holocausto,sadness,0.953
suicida,sadness,0.941
miséria,sadness,0.938
massacre,sadness,0.931
eutanásia,sadness,0.927
depressão,sadness,0.925
Grieing,sadness,0.922
LIGADO,sadness,0.922
fatal,sadness,0.922
enlutado,sadness,0.920
devastação,sadness,0.917
morte,sadness,0.915
devastado,sadness,0.912
suicídio,sadness,0.912
catástrofe,sadness,0.911
horrível,sadness,0.907
morreu,sadness,0.906
tragédia,sadness,0.906
deprimente,sadness,0.906
angústia,sadness,0.902
agonia,sadness,0.900
mortal,sadness,0.898
chorando,sadness,0.896
natimorto,sadness,0.891
morto,sadness,0.891
assassino,sadness,0.877
Câncer,sadness,0.875
morrendo,sadness,0.875
estupro,sadness,0.875
devastador,sadness,0.875
morbidade,sadness,0.864
tristeza,sadness,0.864
execução,sadness,0.859
traumático,sadness,0.859
perecer,sadness,0.859
pesar,sadness,0.859
abandono,sadness,0.859
atrocidade,sadness,0.859
crucificação,sadness,0.859
depressivo,sadness,0.859
cadáver,sadness,0.853
traição,sadness,0.848
traído,sadness,0.848
sofrer,sadness,0.844
Sofrimento,sadness,0.844
funeral,sadness,0.844
destruído,sadness,0.844
homicídio,sadness,0.844
desesperança,sadness,0.844
matando,sadness,0.844
perseguição,sadness,0.844
assassino,sadness,0.844
tristeza,sadness,0.844
miserável,sadness,0.844
triste,sadness,0.844
horrível,sadness,0.844
infelicidade,sadness,0.839
derramamento de sangue,sadness,0.836
aleijado,sadness,0.836
carnificina,sadness,0.833
dor,sadness,0.833
homicídio culposo,sadness,0.833
insuportável,sadness,0.830
natimorto,sadness,0.830
mórbido,sadness,0.828
aniquilação,sadness,0.828
desamparo,sadness,0.828
lamentar,sadness,0.828
assassinato,sadness,0.828
escravidão,sadness,0.828
abandonado,sadness,0.828
horrores,sadness,0.828
mutilação,sadness,0.828
aniquilado,sadness,0.828
acidente,sadness,0.828
escravizado,sadness,0.828
doença,sadness,0.828
tormento,sadness,0.828
aborto espontâneo,sadness,0.824
inanição,sadness,0.819
triste,sadness,0.812
tristemente,sadness,0.812
fome,sadness,0.812
enterro,sadness,0.812
perturbado,sadness,0.812
falha,sadness,0.812
matando,sadness,0.812
desespero,sadness,0.812
crueldade,sadness,0.812
Saddens,sadness,0.812
opressão,sadness,0.812
mágoa,sadness,0.812
terrorismo,sadness,0.812
desgraça,sadness,0.812
Childloss,sadness,0.812
sangrento,sadness,0.806
perecendo,sadness,0.804
desumanidade,sadness,0.804
malignidade,sadness,0.803
mortificação,sadness,0.802
escravo,sadness,0.797
sem vida,sadness,0.797
sarcoma,sadness,0.797
terrivelmente,sadness,0.797
assassinato,sadness,0.797
pereceu,sadness,0.797
matar,sadness,0.797
devastar,sadness,0.797
terrível,sadness,0.797
mortuário,sadness,0.797
leucemia,sadness,0.797
letal,sadness,0.797
desolação,sadness,0.797
forca,sadness,0.797
coração partido,sadness,0.792
banimento,sadness,0.790
aflito,sadness,0.789
desanimado,sadness,0.788
enterrar,sadness,0.781
aterrorizar,sadness,0.781
choro,sadness,0.781
desmoralizado,sadness,0.781
tumor,sadness,0.781
desgosto,sadness,0.781
profanação,sadness,0.781
morrer,sadness,0.773
Lynch,sadness,0.773
sofredor,sadness,0.770
fatalidade,sadness,0.766
doente,sadness,0.766
condenado,sadness,0.766
medo,sadness,0.766
destituído,sadness,0.766
aborto,sadness,0.766
pêsames,sadness,0.766
tortura,sadness,0.766
desmembramento,sadness,0.766
assassino,sadness,0.766
solidão,sadness,0.766
cemitério,sadness,0.766
moribundo,sadness,0.758
dolorosamente,sadness,0.758
desastre,sadness,0.758
deprimido,sadness,0.755
condenação,sadness,0.754
obliteração,sadness,0.750
condenação,sadness,0.750
triste,sadness,0.750
desespero,sadness,0.750
chorar,sadness,0.750
terrorista,sadness,0.750
doloroso,sadness,0.750
abdução,sadness,0.750
incesto,sadness,0.750
cadáver,sadness,0.750
deplorável,sadness,0.750
pandemia,sadness,0.750
doentio,sadness,0.750
hemorragia,sadness,0.750
culpa,sadness,0.750
depressivo,sadness,0.750
Apocalipse,sadness,0.750
derrotado,sadness,0.750
vitimado,sadness,0.750
lamentável,sadness,0.750
infeliz,sadness,0.750
injustiça,sadness,0.745
molestação,sadness,0.744
abismal,sadness,0.742
exílio,sadness,0.742
infernal,sadness,0.738
exterminar,sadness,0.736
destruindo,sadness,0.734
miseravelmente,sadness,0.734
desastroso,sadness,0.734
batido,sadness,0.734
necrotério,sadness,0.734
assassino,sadness,0.734
horrível,sadness,0.734
desonrado,sadness,0.734
morador de rua,sadness,0.734
terremoto,sadness,0.734
órfão,sadness,0.734
massacre,sadness,0.734
guerra,sadness,0.734
traição,sadness,0.734
solitário,sadness,0.734
apático,sadness,0.729
infelizmente,sadness,0.727
vazio,sadness,0.727
cova,sadness,0.727
alienado,sadness,0.727
cheio,sadness,0.722
violentamente,sadness,0.719
Ai,sadness,0.719
sem coração,sadness,0.719
malicioso,sadness,0.719
ausente,sadness,0.719
paralisia,sadness,0.719
Horror,sadness,0.719
envergonhado,sadness,0.719
abandonado,sadness,0.719
emaciado,sadness,0.719
atrofia,sadness,0.719
perigo,sadness,0.719
dor,sadness,0.719
aleijado,sadness,0.719
gritou,sadness,0.719
desanimador,sadness,0.719
lepra,sadness,0.719
morte,sadness,0.717
desapontado,sadness,0.712
rejeitado,sadness,0.712
doentio,sadness,0.712
violência,sadness,0.712
rasgado,sadness,0.710
calamidade,sadness,0.709
sinistro,sadness,0.708
Grievous,sadness,0.704
deformado,sadness,0.703
deformidade,sadness,0.703
punição,sadness,0.703
carro fúnebre,sadness,0.703
Meltdown,sadness,0.703
incurável,sadness,0.703
extinto,sadness,0.703
vítima,sadness,0.703
sufocante,sadness,0.703
choroso,sadness,0.703
obit,sadness,0.703
opressor,sadness,0.703
matadouro,sadness,0.703
abandono,sadness,0.703
esmagado,sadness,0.703
isolamento,sadness,0.703
decomposição,sadness,0.703
desumano,sadness,0.703
desfigurado,sadness,0.703
enterrado,sadness,0.703
estrangular,sadness,0.703
isolar,sadness,0.703
humilhar,sadness,0.703
carcinoma,sadness,0.703
inferno,sadness,0.700
a vida é uma droga,sadness,0.700
ruinoso,sadness,0.698
banir,sadness,0.697
viúva,sadness,0.697
amaldiçoado,sadness,0.697
arruinado,sadness,0.697
desapareceu,sadness,0.695
deslocado,sadness,0.691
pobreza,sadness,0.690
sem esperança,sadness,0.688
lamentando,sadness,0.688
viúvo,sadness,0.688
facada,sadness,0.688
deserto,sadness,0.688
insanidade,sadness,0.688
choroso,sadness,0.688
ferir,sadness,0.688
terminal,sadness,0.688
tiroteio,sadness,0.688
banido,sadness,0.688
hospício,sadness,0.688
depravado,sadness,0.688
NoHope,sadness,0.688
soluço,sadness,0.688
preso,sadness,0.688
farsa,sadness,0.688
perda,sadness,0.688
prejudicial,sadness,0.688
demência,sadness,0.688
patético,sadness,0.688
negligenciado,sadness,0.688
epidemia,sadness,0.688
doença,sadness,0.688
para sempre sozinho,sadness,0.688
infidelidade,sadness,0.688
demissão,sadness,0.686
alienação,sadness,0.685
dificuldade,sadness,0.685
estrangular,sadness,0.682
sequestrar,sadness,0.682
sangramento,sadness,0.673
punido,sadness,0.672
malévolo,sadness,0.672
sangrento,sadness,0.672
lamento,sadness,0.672
desesperado,sadness,0.672
caixão,sadness,0.672
DISPARAGEM,sadness,0.672
saudades de você,sadness,0.672
obituário,sadness,0.672
privação,sadness,0.672
aborto,sadness,0.672
mal,sadness,0.672
miserável,sadness,0.672
prisão,sadness,0.672
exilado,sadness,0.672
Belilite,sadness,0.672
tóxico,sadness,0.672
assustador,sadness,0.672
decomposto,sadness,0.672
miserável,sadness,0.672
sentindo pra baixo,sadness,0.672
desabilitado,sadness,0.672
lamentavelmente,sadness,0.672
estéril,sadness,0.670
carrasco,sadness,0.667
envenenado,sadness,0.667
doença,sadness,0.665
oprimir,sadness,0.664
Desenba corada,sadness,0.660
roubar,sadness,0.656
cadeia,sadness,0.656
aborrecido,sadness,0.656
merda,sadness,0.656
doente,sadness,0.656
poliomielite,sadness,0.656
ardilizou,sadness,0.656
odiar,sadness,0.656
demoníaco,sadness,0.656
lamentar,sadness,0.656
lamentando,sadness,0.656
ruína,sadness,0.656
Destacado,sadness,0.656
rasgar,sadness,0.656
perigo,sadness,0.656
caixão,sadness,0.656
Mangle,sadness,0.656
sozinho,sadness,0.656
carcaça,sadness,0.653
covardia,sadness,0.652
lamentado,sadness,0.652
espancamento,sadness,0.652
incapacidade,sadness,0.648
aflição,sadness,0.645
infertilidade,sadness,0.641
emergência,sadness,0.641
acometido,sadness,0.641
impotente,sadness,0.641
desigualdade,sadness,0.641
venenoso,sadness,0.641
mortalha,sadness,0.641
exorcismo,sadness,0.641
lamentável,sadness,0.641
preocupar,sadness,0.641
perigoso,sadness,0.641
afogar,sadness,0.641
falha,sadness,0.641
flagelo,sadness,0.641
ódio,sadness,0.641
terrivelmente,sadness,0.641
horrível,sadness,0.641
terminação,sadness,0.641
pecaminoso,sadness,0.641
encarceramento,sadness,0.641
psicose,sadness,0.638
