word,emotion,accuracy
explodir,surprise,0.906
flabbergast,surprise,0.906
explosão,surprise,0.898
emboscada,surprise,0.883
explosivo,surprise,0.883
erupção,surprise,0.883
surpreendentemente,surprise,0.875
de sobressalto,surprise,0.875
chocantemente,surprise,0.875
amedrontar,surprise,0.875
surpreso,surprise,0.867
com medo,surprise,0.867
surpreendente,surprise,0.867
explosão,surprise,0.859
emocionante,surprise,0.859
milagre,surprise,0.859
explosão,surprise,0.852
surpreendentemente,surprise,0.852
alarme,surprise,0.852
choque,surprise,0.844
Thundersstruck,surprise,0.844
solavanco,surprise,0.844
deslumbrar,surprise,0.836
Bang,surprise,0.836
catástrofe,surprise,0.836
susto,surprise,0.836
inesperadamente,surprise,0.836
surpreendente,surprise,0.828
de repente,surprise,0.828
emergência,surprise,0.828
perplexidade,surprise,0.828
atordoado,surprise,0.820
Surpreendido,surprise,0.820
jackpot,surprise,0.812
terremoto,surprise,0.812
desastre,surprise,0.812
espanto,surprise,0.805
clímax,surprise,0.805
horrorizado,surprise,0.805
espanto,surprise,0.805
susto,surprise,0.797
impressionado,surprise,0.797
erupção,surprise,0.789
bombear,surprise,0.789
exclamar,surprise,0.789
espanto,surprise,0.781
abdução,surprise,0.773
alarmante,surprise,0.773
detonar,surprise,0.773
ataque,surprise,0.773
milagroso,surprise,0.773
invadir,surprise,0.773
sequestrar,surprise,0.766
imprevisível,surprise,0.758
estupefía,surprise,0.758
bolinho,surprise,0.758
muito pesado,surprise,0.758
errático,surprise,0.750
inimaginável,surprise,0.750
acidente,surprise,0.750
ultrajante,surprise,0.750
Horror,surprise,0.742
surpreender,surprise,0.742
blitz,surprise,0.742
confuso,surprise,0.742
Vacilar,surprise,0.742
petrificar,surprise,0.742
naufrágio,surprise,0.742
massacre,surprise,0.742
frenético,surprise,0.734
colidir,surprise,0.734
frenético,surprise,0.734
estupefação,surprise,0.734
excitação,surprise,0.734
tumultuoso,surprise,0.727
clamor,surprise,0.727
desapareceu,surprise,0.727
Moonstruck,surprise,0.727
repentino,surprise,0.727
temor,surprise,0.719
gritar,surprise,0.719
sem fôlego,surprise,0.719
sabotar,surprise,0.719
grito,surprise,0.719
imprevisto,surprise,0.719
confuso,surprise,0.719
homicídio culposo,surprise,0.719
Surpreensed,surprise,0.719
ruptura,surprise,0.719
inesperado,surprise,0.711
eletrificar,surprise,0.711
incontrolável,surprise,0.711
tomada,surprise,0.711
avalanche,surprise,0.711
suspiro,surprise,0.711
atordoar,surprise,0.711
bater,surprise,0.703
abrupto,surprise,0.703
intruso,surprise,0.703
imprevisto,surprise,0.703
Suspense,surprise,0.703
devastação,surprise,0.703
surto,surprise,0.703
excitar,surprise,0.695
Dumfounder,surprise,0.695
gritar,surprise,0.695
sem precedente,surprise,0.695
batida,surprise,0.695
volatilidade,surprise,0.695
urgente,surprise,0.695
facada,surprise,0.695
perturbação,surprise,0.688
carnificina,surprise,0.688
incrível,surprise,0.688
espetacular,surprise,0.688
emoção,surprise,0.680
imprudência,surprise,0.680
clamor,surprise,0.680
monstruoso,surprise,0.680
tapa,surprise,0.680
inexplicável,surprise,0.672
terrorista,surprise,0.672
excitante,surprise,0.672
acidental,surprise,0.672
acidentalmente,surprise,0.672
impressionante,surprise,0.672
cativar,surprise,0.672
alegria,surprise,0.672
derrubar,surprise,0.664
terrível,surprise,0.664
revolução,surprise,0.664
vulcão,surprise,0.664
Freakish,surprise,0.664
revolta,surprise,0.656
derramamento de sangue,surprise,0.656
esgueirar-se,surprise,0.656
indizível,surprise,0.656
incendiário,surprise,0.656
epidemia,surprise,0.648
violento,surprise,0.648
Interrupção,surprise,0.648
Surpreendentemente,surprise,0.648
motim,surprise,0.648
fascinante,surprise,0.648
ciclone,surprise,0.648
desavisado,surprise,0.648
atacante,surprise,0.648
não intencional,surprise,0.648
gritar,surprise,0.641
indescritível,surprise,0.641
tumulto,surprise,0.641
improvisação,surprise,0.641
incêndios,surprise,0.641
excitação,surprise,0.641
Screech,surprise,0.641
entusiasmo,surprise,0.641
incerto,surprise,0.633
pilhagem,surprise,0.633
GAPE,surprise,0.633
traição,surprise,0.633
Agape,surprise,0.633
anomalia,surprise,0.633
presto,surprise,0.633
aparição,surprise,0.633
admiração,surprise,0.625
matando,surprise,0.625
truque,surprise,0.625
mistério,surprise,0.625
assassino,surprise,0.625
sofrimento,surprise,0.625
feitiçaria,surprise,0.625
excitado,surprise,0.625
tempestade,surprise,0.625
urgência,surprise,0.625
inimaginável,surprise,0.617
intrusivo,surprise,0.617
rapidez,surprise,0.617
intenso,surprise,0.617
truques,surprise,0.617
desaparecer,surprise,0.617
peça,surprise,0.617
assassinato,surprise,0.617
ladrão,surprise,0.609
de olhos vendados,surprise,0.609
instável,surprise,0.609
estrangular,surprise,0.609
golpe,surprise,0.609
mágico,surprise,0.609
quebrar,surprise,0.609
respingo,surprise,0.609
estupor,surprise,0.602
inconcebível,surprise,0.602
trair,surprise,0.602
desafiar,surprise,0.602
jubileu,surprise,0.602
assalto,surprise,0.602
dilúvio,surprise,0.602
enfrentar,surprise,0.602
monstruosidade,surprise,0.594
raio,surprise,0.594
estupendo,surprise,0.594
estridente,surprise,0.594
acidente,surprise,0.594
Alertas,surprise,0.594
misterioso,surprise,0.586
aleatoriamente,surprise,0.586
selvagem,surprise,0.586
engano,surprise,0.586
bônus,surprise,0.586
armadilha,surprise,0.586
estranho,surprise,0.586
maravilhoso,surprise,0.586
prematuro,surprise,0.578
cambalear,surprise,0.578
alegria,surprise,0.578
Godsend,surprise,0.578
Jubilante,surprise,0.578
elétrico,surprise,0.578
delirante,surprise,0.578
bizarro,surprise,0.578
morte,surprise,0.578
acaso,surprise,0.578
estranheza,surprise,0.578
dinâmico,surprise,0.570
desânimo,surprise,0.570
vingança,surprise,0.570
nefasto,surprise,0.562
fascinar,surprise,0.562
idiota,surprise,0.562
Ecstático,surprise,0.562
recompensa,surprise,0.562
descobrir,surprise,0.562
reaparecer,surprise,0.562
Zany,surprise,0.555
capricho,surprise,0.555
Thaumaturgia,surprise,0.555
Conjure,surprise,0.555
crescendo,surprise,0.555
resgatar,surprise,0.547
atordoado,surprise,0.547
heroísmo,surprise,0.547
iluminar,surprise,0.547
ganhador,surprise,0.547
ejaculação,surprise,0.547
frustro,surprise,0.547
raridade,surprise,0.547
desenfreado,surprise,0.547
tentador,surprise,0.547
soco,surprise,0.539
alegrar,surprise,0.539
traição,surprise,0.539
violação,surprise,0.539
celebração,surprise,0.539
ilusão,surprise,0.539
maravilha,surprise,0.539
sortudo,surprise,0.539
estocada,surprise,0.539
interromper,surprise,0.539
insulto,surprise,0.539
escondido,surprise,0.531
Nag,surprise,0.531
sensação,surprise,0.531
Banger,surprise,0.531
medo,surprise,0.531
afronta,surprise,0.531
Jove,surprise,0.531
não descoberto,surprise,0.523
libertar,surprise,0.523
VEER,surprise,0.523
abandono,surprise,0.523
imediatismo,surprise,0.523
improvisar,surprise,0.523
vitimado,surprise,0.523
escorpião,surprise,0.523
majestoso,surprise,0.523
maravilha,surprise,0.523
alegrar,surprise,0.523
cócegas,surprise,0.516
chance,surprise,0.516
Yelp,surprise,0.516
uivo,surprise,0.516
furtivamente,surprise,0.516
involuntariamente,surprise,0.508
magnífico,surprise,0.508
reflexo,surprise,0.508
Garish,surprise,0.508
transcendência,surprise,0.508
delírio,surprise,0.508
sorte,surprise,0.508
desviar,surprise,0.508
pop,surprise,0.508
animar,surprise,0.500
assassino,surprise,0.500
notável,surprise,0.500
pouco frequente,surprise,0.500
Pang,surprise,0.500
erótico,surprise,0.500
mau comportamento,surprise,0.500
