sentiment;text
joy;Senti felicidade durante o período de apaixonamento, cada vez que nos encontrava-mos e especialmente quando não nos encontrávamos há muito tempo.
joy;sentir felicidade durante período apaixonamento encontrar especialmente encontráva haver.
fear;Quando estive envolvido num acidente de tráfico senti-me com medo.
fear;envolver acidente tráfico medo.
anger;Quando estava a conduzir para casa depois de vários dias de trabalho árduo, um condutor à minha frente, que estava a conduzir a 50 km/hora, recusou-se a deixar-me ultrapassar, apesar de ele ir em velocidade baixa. Fiquei furioso.
anger;conduzir casa dia trabalho árduo condutor frente conduzir km hora ultrapassar apesar velocidade baixo Fiquei furioso.
sadness;Quando perdi a pessoa que tinha mais significado para mim. .
sadness;perdi pessoa ter significado eu.
disgust;Quando derrubei um veado - a visão dos ferimentos e do desamparo do animal senti desgosto. O animal estava tão ferido que teve de ser abatido, e quando o animal gritou no momento da morte voltei a sentir desgosto.
disgust;derrubeir veado visão ferimento desamparo animal sentir desgosto animal ferir abatir animal gritar morte voltar sentir desgosto.
shame;Senti vergonha quando não disse a verdade.
shame;sentir vergonha dizer verdade.
guilt;Senti-me culpado quando causei problemas a uma pessoa porque ele não conseguia cumprir o tempo estipulado e isto levou a várias consequências.
guilt;culpar causei problema pessoa conseguir cumprir estipular levar várias consequência.
joy;Fiquei contente quando recebi uma carta a oferecer-me o emprego de Verão a que me tinha candidatado. .
joy;Fiquei contente recebi carta emprego verão ter candidatar.
fear;Uma noite quando estava a ir para casa sozinha em Paris, senti muito medo quando um homem apareceu atrás de mim e perguntou-me se eu não tinha medo de sair sozinha tão tarde durante a noite.
fear;noite casa sozinho Paris sentir medo homem aparecer eu ter medo sair sozinho durante noite.
anger;Quando eu estava a falar com ele numa festa pela primeira vez em muito tempo e um amigo veio, interrompeu-nos e ele saiu. Fiquei com raiva.
anger;falar festa amigo vir sair Fiquei raiva.
sadness;Senti-me triste quando os meus amigos não me convidaram para ir a uma festa de Ano Novo com eles.
sadness;triste amigo convidar festa Ano.
disgust;Fiquei enojada quando vi todas as crianças de 13-14 anos da cidade muito bêbadas, numa noite de Walpurgis.
disgust;Fiquei enojar ver criança ano cidade bêbado noite Walpurgis.
shame;Fiquei com vergonha quando me esqueci do que dizer sobre uma tarefa de apresentação numa reunião de contabilidade.
shame;Fiquei vergonha esqueci tarefa apresentação reunião contabilidade.
guilt;Quando o meu tio e o meu vizinho chegaram a casa sob escolta da polícia senti-me culpado.
guilt;tio vizinho chegar casa escolta polícia culpar.
joy;Fico feliz nos dias em que estou perto do meu parceiro e de outros amigos, quando me sinto em paz comigo e estou com as pessas que me são muito importantes.
joy;Fico feliz dia parceiro amigo sinto paz comigo pessa importante.
fear;Fico com medo sempre que imagino alguém de quem gosto a contrair uma doença grave, ou a morrer.
fear;Fico medo imaginar alguém gostar contrair doença grave morrer.
anger;Quando fui obviamente tratado de forma injusta e não tinha qualquer possibilidade de esclarecer isto, senti-me com raiva.
anger;obviamente tratar injusto ter possibilidade esclarecer raiva.
sadness;Quando fico a pensar no pouco tempo em que vivemos e o relaciono com os períodos da minha vida sinto-me triste porque acho que não utilizei bem o meu tempo.
sadness;ficar pensar viver relaciono período vida triste achar utilizar.
disgust;Numa reunião, fiquei involuntariamente sentado ao lado de duas pessoas com opiniões que considerei muito baixas e discriminatórias. Senti desgosto.
disgust;reunião fiquei involuntariamente sentar pessoa opinião considerei baixo discriminatório sentir desgosto.
shame;Fiquei com vergonha quando notei que estava a direcionar descontentamento comigo mesma para o meu parceiro e que desta forma estava a tentar atribuir-lhe as culpas ao invés de resolver os meus próprios sentimentos.
shame;Fiquei vergonha notar direcionar descontentamento comigo mesmo parceiro culpa invés resolver próprio sentimento.
guilt;Senti culpa quando percebi que acho que bens materiais são mais importantes do que cuidar dos meus familiares. Senti-me muito egocêntrica e com vergonha.
guilt;sentir culpa percebi achar bem material importante cuidar familiar egocêntrico vergonha.
