sentiment;text
joy;Durante o período de apaixonamento, estava muito animado de cada vez que nos encontrávamos e especialmente quando não nos encontrávamos há muito tempo.
fear;Estive envolvido num acidente de trânsito senti muito medo.
anger;Estava a conduzir para casa depois de vários dias de trabalho duro, quando um condutor à minha frente, que estava a conduzir a 50 km/hora, recusou-se a deixar-me ultrapassar, apesar de ele ir em velocidade baixa o que me deixou muito enervado.
sadness;Perdi a pessoa que tinha mais significado para mim e para a minha vida.
disgust;Derrubei um veado - a visão dos ferimentos e do desamparo do animal fez me sentir enojado. O animal estava tão ferido que teve de ser abatido, e nesse momento o animal gritou tanto que me senti muito mal.
shame;Senti bastante vergonha de mim mesma quando não disse a verdade e menti.
guilt;Eu causei problemas a uma pessoa porque ele não conseguia cumprir o tempo estipulado e isto levou a várias consequências e acabei por me sentir culpado por esta situação.
joy;Quando recebi uma carta a oferecer-me o emprego de Verão a que me tinha candidatado fiquei super contente.
fear;Uma noite quando estava a ir para casa sozinha em Paris, senti-me com imenso medo quando um homem apareceu atrás de mim e perguntou-me se eu não tinha medo de sair sozinha tão tarde durante a noite.
anger;Pela primeira vez em muito tempo, eu estava a falar com um rapaz numa festa e quando um amigo dele veio e interrompeu-nos e ele saiu o que me deixou irritada.
sadness;Os meus amigos não me convidaram para ir a uma festa de Ano Novo com eles o que me deixou bastante desiludida e triste.
disgust;Numa noite de Walpurgis, vi todas as crianças de 13 e 14 anos da minha cidade muito bêbadas e fiquei com muito nojo.
shame;Fiquei com vergonha quando me esqueci do que ia dizer sobre uma tarefa de apresentação durante uma reunião de contabilidade.
guilt;Um dia o meu tio e o meu vizinho chegaram a casa sob escolta da polícia e senti-me culpado por isso.
joy;Nos dias em que estou na companhia do meu parceiro e de outros amigos eu fico feliz e animada.
fear;Sempre que imagino alguém importante na minha vida a contrair uma doença grave, ou a morrer eu fico muito ansioso e apavorado.
anger;Certo dia e fui tratado de forma muito injusta e não tive qualquer hipótese de esclarecer o que aconteceu o que me deixou enervado.
sadness;Recorrentemente penso no pouco tempo em que vivemos na Terra e quando penso ainda na minha vida sinto-me triste porque acho que não utilizei bem o meu tempo.
disgust;Numa reunião, fiquei involuntariamente sentado ao lado de duas pessoas com opiniões que considerei muito baixas e discriminatórias e fiquei incomodado de lá estar.
