sentiment;text
joy;Nos dias em que me sinto perto do meu parceiro e de outros amigos. Quando me sinto em paz comigo mesmo e também experimente um contato próximo com pessoas que considero muito.
fear;Toda vez que imagino que alguém que amo ou poderia entrar em contato com uma doença grave, até a morte.
anger;Quando eu tinha sido obviamente tratado injustamente e não tinha possibilidade de elucidar isso.
sadness;Quando penso no curto período de tempo em que vivemos e o relacionamos aos períodos da minha vida em que acho que não usei esse curto período de tempo.
disgust;Em uma reunião, me vi involuntariamente ao lado de duas pessoas que expressaram opiniões que considerava muito baixo e discriminador.
shame;Quando percebi que estava dirigindo os sentimentos de descontentamento comigo mesmo em meu parceiro, e dessa maneira estava tentando colocar a culpa nele, em vez de resolver minhas próprias sentimentos.
guilt;Sinto -me culpado quando percebo que considero as coisas materiais mais importantes do que cuidar de meus parentes. Eu me sinto muito egocêntrico.
joy;Depois que minha namorada fez o exame, fomos à casa dos pais dela.
fear;Quando, pela primeira vez, percebi o significado da morte.
anger;Quando um carro está ultrapassando outro e sou forçado a sair da estrada.
sadness;Quando recentemente pensei no trabalho duro necessário para estudar e como se quer tentar outra coisa. Quando li um livro teórico em inglês que não entendi.
disgust;Quando encontrei uma cerda no tubo de pasta de fígado.
shame;Quando estava cansado e desmotivado, gritei para minha namorada e trouxe lados negativos de sua personagem, que na verdade não são tão importantes.
guilt;Quando acho que não estudo o suficiente. Após o fim de semana, acho que deveria ter conseguido fazer algo durante esse tempo.
joy;Quando passo um exame que não achei bem.
fear;Quando alguém providenciou encontrar alguém e essa pessoa chega atrasada, enquanto isso se começa a pensar em tudo o que poderia ter errado, por exemplo, um acidente de trânsito.
anger;Quando alguém é injustamente acusado de algo que se não fez.
sadness;Quando os estudos de alguém parecem irremediavelmente difíceis e desinteressantes.
disgust;Quando alguém descobre que alguém que você conhece não é como se pensasse, por exemplo, amigos que roubam e coisas assim, bastante injustificados.
shame;Quando alguém está injusto, estúpido em relação a outra pessoa.
guilt;Quando alguém negligenciou ou foi injusto com um bom amigo.
joy;Passando em um exame, eu não esperava passar.
fear;Quando subi uma árvore para escolher maçãs. O ângulo da escada em que eu estava não me permitiu ficar alto o suficiente. Isso implicava que a escada não era muito estável.
guilt;Quando são necessárias desculpas e eu saio de fazer isso sozinho.
joy;Quando eu tive meus filhos.
fear;Quando meu filho de 2 anos subiu e sentou -se na varanda do 7º andar com as pernas saindo. Ele estava segurando firmemente o parapeito da varanda, mas poderia facilmente ter perdido o equilíbrio quando se sentou.
anger;Quando meu parceiro foi atacado e perdeu três dentes.
sadness;Quando vejo crianças em T.V de áreas devastadas por seca e guerra.
disgust;Quando eu quase caminhei em uma vermes e depois a vi rastejar.
shame;Quando vi meu filho de 18 anos pegar uma máscara de oxigênio, pois tinha dificuldades respiratórias. Eu tinha uma consciência ruim porque não parei de fumar. A medicação para a dilatação de seus tubos respiratórios também causou uma sensação de culpa em mim.
guilt;Eu experimento um senso de culpa, pois meu filho do meio não pode se expressar como outras crianças, nem verbalmente nem por escrito.
joy;Quando meu filho nasceu.
fear;Era primavera e o gelo estava derretendo. Eu estava longe em um cais e cutuquei o gelo com um longo galho para tentar quebrá -lo. O galho atravessou o gelo e eu caí, a água fechou sobre minha cabeça.
anger;As acusações injustas direcionadas a mim e à minha maneira de atuar, por alguém próximo a mim.
sadness;Falhando em um exame.
disgust;Um bêbado caiu, começou a sangrar e se molhar. Nojo que se transformou em tristeza-desagradável.
shame;Quando, como adulto, fui pego mentindo ou se comportando mal.
guilt;Quando estou em um ambiente ou com uma pessoa muito pior do que eu, percebo como sou privilegiado.
joy;Quando vi uma pessoa que não via há muito tempo.
fear;Quando, quando criança, eu quase fui derrubada por um carro.
anger;Quando ouvi no rádio que a partida de futebol na Bélgica havia terminado em uma catástrofe, e várias pessoas morreram. Eu não conseguia entender como as pessoas normais poderiam se comportar dessa maneira.
sadness;Quando me sinto sozinho, talvez porque eu tenha que estudar muito e estou calada no meu apartamento. Nada acontece em particular porque não há tempo para mais nada.
disgust;Quando alguém aprende através da mídia de massa, todas as guerras e assassinatos acontecendo no mundo.
shame;Eu menti, para ser preciso, cancelei uma reunião com um bom amigo.
guilt;Quando alguém decepciona amigos
joy;Quando fui aceito para um curso de finanças e contabilidade.
fear;Um ônibus passou pela minha perna direita. O evento em si não foi muito assustador, mas quando tive que esperar na ala de emergência por três horas e então minha perna começou a inchar, fiquei assustado.
anger;No meu trabalho de verão, ninguém cuidou de mim em particular e eu tive que aprender sozinho.
sadness;Quando não fui aceito como estudante em finanças e contabilidade.
disgust;Quando acabara de me mudar para o meu novo apartamento, encontrei um ventilador na cozinha. Eu ia limpá -lo quando descobri que o tambor estava cheio de lama e lodo. Eu me senti enojado.
shame;Meu irmão mais velho e eu nem sempre tivemos um bom relacionamento e me sinto envergonhado por mim mesmo, pois não o chamo para falar com ele hoje em dia.
guilt;No meu trabalho de verão, havia sido empregado um novo cuidador que tinha a minha idade, mas eu preferia sair para almoçar com o pessoal da conta e não com ele.
joy;Passou um exame em 2 pontos.
fear;Em uma cabana em uma grande floresta, eu estava sozinha por um tempo no escuro.
sadness;Estação ferroviária adeus.
disgust;Eu vi um aleijado em trapos com crianças pequenas na Itália. Ele provavelmente era um impostor.
shame;Eu disse a um amigo que estava indo a uma festa e ele não se divertiria se ele aparecesse. Ele entendeu que não teria se encaixado e havia algo nisso.
guilt;Eu fui a razão por trás do rompimento do relacionamento de meu amigo com sua namorada. Ela terminou com ele.
joy;Passei em um exame de que tinha certeza de que havia falhado.
fear;No caminho de volta da Dinamarca com um amigo em um pequeno yatch, houve uma tempestade e meu amigo foi explodido ao mar, fiquei com muito medo até conseguir colocá -lo de volta a bordo.
anger;Eu me trancei.
sadness;Eu perdi o último bonde para casa e tive que andar na chuva.
disgust;Encontrei alguns vermes na comida e obviamente tinha comido um pouco.
shame;Meu amigo estava tão embriagado que a polícia veio e o levou embora, e mais tarde eles entraram em contato com seus pais.
guilt;Passei para ouvir algo que não deveria ouvir.
joy;Quando ganhei uma viagem à Grécia em uma competição.
fear;Quando estou no escuro e um personagem suspeito vem em minha direção.
anger;No trabalho, quando um homem idoso reclamou injustificadamente sobre mim e me desconfiava.
sadness;Quando eu não entendi nada depois de uma palestra.
disgust;Quando um alcoólatra estava driblando sobre um balcão de comida.
shame;Quando meu amigo e eu estávamos discutindo a boa aparência de um cara, percebemos que ele estava ouvindo.
guilt;Quando reclamei de um colega do gerente e ele disse a ela que alguém havia reclamado, esse colega veio a mim acreditando que eu gostava dela.
joy;Na festa de aniversário de um amigo com alguns dos meus amigos mais próximos. Foi tudo muito agradável e se poderia dizer que fiquei feliz por ter bons amigos.
fear;No caminho para casa, uma noite de sexta -feira na chuva pesada, o carro adquira. Perdi o contato com a superfície da estrada por alguns segundos.
anger;Bravo com meu pai.
sadness;Um caso de amor não correspondido.
disgust;Um pepino com cheiro ruim.
shame;Quase pegou se masturbando.
guilt;Eu não ajuda o suficiente em casa.
joy;Eu me senti muito feliz quando ganhei as piscinas de futebol.
fear;Quando voei de Atenas para Copenhague após um feriado. O avião foi pego em uma tempestade e começou a tremer e eu tuhght que íamos cair.
anger;Quando alguém roubou minha bicicleta.
sadness;Quando vi a lista de livros para ler para um curso de acesso, pensei: "Oh Deus, como vou mandar!"
disgust;Foi quando li um artigo de jornal sobre o futuro e eles previam que estaríamos comendo bisguradores de sapo até o ano 2000. Uma ilustração mostrou um sapo entre dois pedaços de pão.
shame;Quando larguei uma garrafa na loja de bebidas estaduais e Everyboby começou a rir.
guilt;Quando eu era jovem - 14, prendi uma loja e fui pego. A loja então entrou em contato com meus pais.
joy;Quando toda a família se reúne para um feriado de uma semana. Todo mundo se sente livre e a viagem está bem planejada. Funciona bem e nos divertimos.
fear;Quando eu não consegui encontrar minha filha de 2 anos. Corri e procurei por ela em todos os lugares e não consegui encontrá -la. (Finalmente a encontrei, ela foi para a cama para dormir)
anger;Quando os amigos tentam me derrubar ou me machucar.
sadness;Crises de casamento. Tédio.
disgust;Quando alguém faz avança que não se deseja.
shame;A descoberta que se pensou apenas em si mesmo.
guilt;Quando bati em uma criança com raiva e depois me arrependi terrivelmente.
joy;Quando passei no primeiro exame que tive que repetir.
fear;Quando dirigi até Estocolmo pela primeira vez e saí da estrada STORA HISSINGEN na saída errada.
anger;Quando meu namorado foi embora por um mês de férias sem mim.
sadness;No ano passado, quando trabalhei durante as férias de verão e estudei ao mesmo tempo para um exame que eu tive que repetir, meu namorado foi para a Grécia para férias por um mês.
disgust;Quando um cachorro fica choramingando do lado de fora de uma loja.
shame;Quando prometi ajudar um amigo durante um fim de semana e não cumpriu a promessa.
guilt;Quando percebi que tinha mais três exames para fazer.
joy;O dia em que me disseram que fui aceito como estudante de economia.
fear;Enquanto fazia um atalho no parque Vasa, eu estava cercado por três pessoas que tentaram roubar meu dinheiro. Eu estava com medo e fui salvo apenas pelo aparecimento de outras pessoas.
anger;Em um restaurante, observei como os ciganos tentaram conseguir dinheiro trapaceando os estrangeiros, ou seja, não falando sueco. Minha raiva não tinha nada a ver com ódio contra estrangeiros, mas foi uma expressão da raiva que sinto quando vejo pessoas sendo usadas.
sadness;No início de um novo curso, um tem medo de encontrar problemas que não se pode gerenciar. Os pensamentos giram em torno de falhar no assunto e as consequências que teriam para o futuro.
disgust;Enquanto caminhava na cidade, notei como a polícia assediava um homem que estava sob a influência do álcool. Eles o aterroravam com o pensamento de prisão, dirigindo atrás dele em uma rua de pedestres. Meu desgosto foi direcionado aos gestos e às expressões faciais dos policiais, eles pareciam estar se divertindo.
shame;Quando meu namorado revelou que ele sabia que eu havia descoberto coisas de uma natureza importante sobre ele, senti envergonhado porque não o mencionara anteriormente.
guilt;Quando sou desonesto a um amigo a quem estou muito perto. Sinto -me culpado porque sei que ele dá uma versão diferente da verdade e não corrigi esses erros, e ele está ciente de que sei que eles estão errados.
