[Epoch 0] - Training results: train_loss=1.9351, train_acc=0.2632
[Epoch 0] - Validation results: val_loss=1.9299, val_acc=0.1977
[Epoch 1] - Training results: train_loss=1.9228, train_acc=0.1579
[Epoch 1] - Validation results: val_loss=1.9024, val_acc=0.2811
[Epoch 2] - Training results: train_loss=1.7584, train_acc=0.5263
[Epoch 2] - Validation results: val_loss=1.8636, val_acc=0.3315
[Epoch 3] - Training results: train_loss=1.8561, train_acc=0.3684
[Epoch 3] - Validation results: val_loss=1.8241, val_acc=0.3759
[Epoch 4] - Training results: train_loss=1.7784, train_acc=0.4211
[Epoch 4] - Validation results: val_loss=1.8234, val_acc=0.3752
[Epoch 5] - Training results: train_loss=1.8730, train_acc=0.3158
[Epoch 5] - Validation results: val_loss=1.8227, val_acc=0.3745
[Epoch 6] - Training results: train_loss=1.8336, train_acc=0.3158
[Epoch 6] - Validation results: val_loss=1.8221, val_acc=0.3765
[Epoch 7] - Training results: train_loss=1.8101, train_acc=0.2632
[Epoch 7] - Validation results: val_loss=1.8221, val_acc=0.3765
[Epoch 8] - Training results: train_loss=1.7984, train_acc=0.3158
[Epoch 8] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 9] - Training results: train_loss=1.7693, train_acc=0.3684
[Epoch 9] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 10] - Training results: train_loss=1.7113, train_acc=0.5263
[Epoch 10] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 11] - Training results: train_loss=1.8155, train_acc=0.5263
[Epoch 11] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 12] - Training results: train_loss=1.8530, train_acc=0.2632
[Epoch 12] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 13] - Training results: train_loss=1.8122, train_acc=0.5263
[Epoch 13] - Validation results: val_loss=1.8220, val_acc=0.3765
[Epoch 14] - Training results: train_loss=1.7421, train_acc=0.4737
[Epoch 14] - Validation results: val_loss=1.8220, val_acc=0.3765
